"geo_code","geo","time","values"
"HR","Croatia",2008,1.4
"HU","Hungary",2008,1.6
"IE","Ireland",2008,3.7
"IS","Iceland",2008,3.3
"IT","Italy",2008,6.1
"LI","Liechtenstein",2008,2.5
"LT","Lithuania",2008,-5.1
"LU","Luxembourg",2008,15.8
"LV","Latvia",2008,-10.3
"ME","Montenegro",2008,-1.5
"MK","Former Yugoslav Republic of Macedonia, the",2008,-0.3
"MT","Malta",2008,5.7
"NL","Netherlands",2008,1.9
"NO","Norway",2008,9.1
"PL","Poland",2008,-0.4
"PT","Portugal",2008,0.9
"RO","Romania",2008,-8
"RS","Serbia",2008,0.4
"RU","Russia",2008,1.8
"SE","Sweden",2008,6
"SI","Slovenia",2008,9.2
"SK","Slovakia",2008,0.4
"TR","Turkey",2008,0.4
"UK","United Kingdom",2008,4.1
"XK","Kosovo (under United Nations Security Council Resolution 1244/99)",2008,0
"AT","Austria",2009,2.1
"BA","Bosnia and Herzegovina",2009,0.1
"BE","Belgium",2009,5.9
"BG","Bulgaria",2009,-2.5
"CH","Switzerland",2009,8.8
"CY","Cyprus",2009,22
"CZ","Czech Republic",2009,2.4
"DE","Germany (until 1990 former territory of the FRG)",2009,-0.1
"DK","Denmark",2009,2.8
"EA18","Euro area (18 countries)",2009,1.6
"EA19","Euro area (19 countries)",2009,1.5
"EE","Estonia",2009,-1.6
"EL","Greece",2009,1.3
"ES","Spain",2009,3
"EU27","European Union (27 countries)",2009,1.4
"EU28","European Union (28 countries)",2009,1.4
"FI","Finland",2009,2.7
"FR","France",2009,0.5
"HR","Croatia",2009,0.2
"HU","Hungary",2009,1.7
"IE","Ireland",2009,-4.2
"IS","Iceland",2009,-15
"IT","Italy",2009,3.6
"LI","Liechtenstein",2009,3.6
"LT","Lithuania",2009,-10.1
"LU","Luxembourg",2009,13.2
"LV","Latvia",2009,-16.1
"ME","Montenegro",2009,0
"MK","Former Yugoslav Republic of Macedonia, the",2009,-0.3
"MT","Malta",2009,5.6
"NL","Netherlands",2009,2.3
"NO","Norway",2009,8
"PL","Poland",2009,0
"PT","Portugal",2009,1.5
"RO","Romania",2009,-5.4
"RS","Serbia",2009,0.7
"RU","Russia",2009,1.8
"SE","Sweden",2009,6.7
"SI","Slovenia",2009,5.6
"SK","Slovakia",2009,-0.1
"TR","Turkey",2009,2.4
"UK","United Kingdom",2009,3.8
"XK","Kosovo (under United Nations Security Council Resolution 1244/99)",2009,0
"AT","Austria",2010,2.6
"BA","Bosnia and Herzegovina",2010,0.1
"BE","Belgium",2010,7.9
"BG","Bulgaria",2010,-2.4
"CH","Switzerland",2010,7.7
"CY","Cyprus",2010,19.2
"CZ","Czech Republic",2010,1.4
"DE","Germany (until 1990 former territory of the FRG)",2010,1.6
"DK","Denmark",2010,3
"EA18","Euro area (18 countries)",2010,1.7
"EA19","Euro area (19 countries)",2010,1.4
"EE","Estonia",2010,-2.8
"EL","Greece",2010,-0.1
"ES","Spain",2010,1.6
"EU27","European Union (27 countries)",2010,1.5
"EU28","European Union (28 countries)",2010,1.5
"FI","Finland",2010,2.6
"FR","France",2010,0.6
"HR","Croatia",2010,-1
"HU","Hungary",2010,1.2
"IE","Ireland",2010,-5.6
"IS","Iceland",2010,-6.5
"IT","Italy",2010,3.4
"LI","Liechtenstein",2010,4.6
"LT","Lithuania",2010,-25.2
"LU","Luxembourg",2010,15.1
"LV","Latvia",2010,-17
"ME","Montenegro",2010,-1.5
"MK","Former Yugoslav Republic of Macedonia, the",2010,-0.3
"MT","Malta",2010,0.2
"NL","Netherlands",2010,2
"NO","Norway",2010,8.6
"PL","Poland",2010,0.1
"PT","Portugal",2010,0.4
"RO","Romania",2010,-2.4
"RS","Serbia",2010,0.6
"RU","Russia",2010,8.3
"SE","Sweden",2010,5.3
"SI","Slovenia",2010,-0.3
"SK","Slovakia",2010,-0.9
"TR","Turkey",2010,4.1
"UK","United Kingdom",2010,4.2
"AT","Austria",2011,3.7
"BA","Bosnia and Herzegovina",2011,-0.1
"BE","Belgium",2011,6.3
"BG","Bulgaria",2011,-0.7
"CH","Switzerland",2011,8.3
"CY","Cyprus",2011,21.3
"CZ","Czech Republic",2011,1.6
"DE","Germany (until 1990 former territory of the FRG)",2011,3.7
"DK","Denmark",2011,2.4
"EA18","Euro area (18 countries)",2011,1.6
"EA19","Euro area (19 countries)",2011,1.5
"EE","Estonia",2011,-2.9
"EL","Greece",2011,-2.9
"ES","Spain",2011,1.4
"EU27","European Union (27 countries)",2011,1.5
"EU28","European Union (28 countries)",2011,1.4
"FI","Finland",2011,3.1
"FR","France",2011,0.3
"HR","Croatia",2011,-0.9
"HU","Hungary",2011,1.3
"IE","Ireland",2011,-7.4
"IS","Iceland",2011,-4.3
"IT","Italy",2011,1.3
"LI","Liechtenstein",2011,4.9
"LT","Lithuania",2011,-12.6
"LU","Luxembourg",2011,21.2
"LV","Latvia",2011,-9.7
"ME","Montenegro",2011,-1.5
"MK","Former Yugoslav Republic of Macedonia, the",2011,-0.4
"MT","Malta",2011,4
"NL","Netherlands",2011,1.8
"NO","Norway",2011,9.4
"PL","Poland",2011,-0.3
"PT","Portugal",2011,-2.3
"RO","Romania",2011,-2.4
"RS","Serbia",2011,0.3
"RU","Russia",2011,2.3
"SE","Sweden",2011,4.8
"SI","Slovenia",2011,1
"SK","Slovakia",2011,0.5
"TR","Turkey",2011,2.1
"UK","United Kingdom",2011,3.4
"XK","Kosovo (under United Nations Security Council Resolution 1244/99)",2011,-8.9
"AT","Austria",2012,5.2
"BA","Bosnia and Herzegovina",2012,0
"BE","Belgium",2012,4.3
"BG","Bulgaria",2012,-0.3
"CH","Switzerland",2012,8.3
"CY","Cyprus",2012,-0.7
"CZ","Czech Republic",2012,1
"DE","Germany (until 1990 former territory of the FRG)",2012,4.9
"DK","Denmark",2012,3
"EA18","Euro area (18 countries)",2012,2
"EA19","Euro area (19 countries)",2012,2
"EE","Estonia",2012,-2.8
"EL","Greece",2012,-6
"ES","Spain",2012,-3
"EU27","European Union (27 countries)",2012,1.8
"EU28","European Union (28 countries)",2012,1.8
"FI","Finland",2012,3.3
"FR","France",2012,1.1
"HR","Croatia",2012,-0.9
"HU","Hungary",2012,1.6
"IE","Ireland",2012,-7.6
"IS","Iceland",2012,-0.9
"IT","Italy",2012,6.2
"LI","Liechtenstein",2012,6.3
"LT","Lithuania",2012,-7.1
"LU","Luxembourg",2012,18.9
"LV","Latvia",2012,-5.8
"ME","Montenegro",2012,-1.5
"MK","Former Yugoslav Republic of Macedonia, the",2012,-0.5
"MT","Malta",2012,7.4
"NL","Netherlands",2012,0.8
"NO","Norway",2012,9.4
"PL","Poland",2012,-0.1
"PT","Portugal",2012,-3.6
"RO","Romania",2012,-1.1
"RS","Serbia",2012,0
"SE","Sweden",2012,5.4
"SI","Slovenia",2012,0.3
"SK","Slovakia",2012,0.6
"TR","Turkey",2012,0.3
"UK","United Kingdom",2012,2.6
"XK","Kosovo (under United Nations Security Council Resolution 1244/99)",2012,-1.9
"AL","Albania",2013,-6.3
"AT","Austria",2013,6.5
"BA","Bosnia and Herzegovina",2013,0.1
"BE","Belgium",2013,2.3
"BG","Bulgaria",2013,-0.2
"CH","Switzerland",2013,10.2
"CY","Cyprus",2013,-14
"CZ","Czech Republic",2013,-0.1
"DE","Germany (until 1990 former territory of the FRG)",2013,5.6
"DK","Denmark",2013,3.8
"EA18","Euro area (18 countries)",2013,4.3
"EA19","Euro area (19 countries)",2013,4.2
"EE","Estonia",2013,-2
"EL","Greece",2013,-5.4
"ES","Spain",2013,-5.4
"EU27","European Union (27 countries)",2013,3.4
"EU28","European Union (28 countries)",2013,3.4
"FI","Finland",2013,3.3
"FR","France",2013,0.7
"HR","Croatia",2013,-1.1
"HU","Hungary",2013,0.6
"IE","Ireland",2013,-5.5
"IS","Iceland",2013,5.1
"IT","Italy",2013,19.7
"LI","Liechtenstein",2013,5.4
"LT","Lithuania",2013,-5.7
"LU","Luxembourg",2013,19
"LV","Latvia",2013,-7.1
"ME","Montenegro",2013,-1.5
"MK","Former Yugoslav Republic of Macedonia, the",2013,-0.2
"MT","Malta",2013,7.6
"NL","Netherlands",2013,1.2
"NO","Norway",2013,7.7
"PL","Poland",2013,-0.7
"PT","Portugal",2013,-3.5
"RO","Romania",2013,-0.4
"RS","Serbia",2013,0
"SE","Sweden",2013,6.9
"SI","Slovenia",2013,0.2
"SK","Slovakia",2013,0.4
"TR","Turkey",2013,1.7
"UK","United Kingdom",2013,3.8
"AL","Albania",2014,-6.5
"AT","Austria",2014,7.7
"BA","Bosnia and Herzegovina",2014,0
"BE","Belgium",2014,3
"BG","Bulgaria",2014,-0.3
"CH","Switzerland",2014,9.4
"CY","Cyprus",2014,-17.6
"CZ","Czech Republic",2014,2.1
"DE","Germany (until 1990 former territory of the FRG)",2014,7.2
"DK","Denmark",2014,4.8
"EA18","Euro area (18 countries)",2014,2.1
"EA19","Euro area (19 countries)",2014,2
"EE","Estonia",2014,-0.5
"EL","Greece",2014,-4.3
"ES","Spain",2014,-2
"EU27","European Union (27 countries)",2014,2
"EU28","European Union (28 countries)",2014,1.9
"FI","Finland",2014,2.8
"FR","France",2014,0.7
"HR","Croatia",2014,-2.4
"HU","Hungary",2014,1.1
"IE","Ireland",2014,-3.2
"IS","Iceland",2014,3.4
"IT","Italy",2014,1.8
"LI","Liechtenstein",2014,3.6
"LT","Lithuania",2014,-4.2
"LU","Luxembourg",2014,19.9
"LV","Latvia",2014,-4.3
"ME","Montenegro",2014,-1.5
"MK","Former Yugoslav Republic of Macedonia, the",2014,-0.2
"MT","Malta",2014,7.1
"NL","Netherlands",2014,2.1
"NO","Norway",2014,7.8
"PL","Poland",2014,-0.3
"PT","Portugal",2014,-2.9
"RO","Romania",2014,-0.8
"RS","Serbia",2014,0.3
"RU","Russia",2014,17.7
"SE","Sweden",2014,7.9
"SI","Slovenia",2014,-0.2
"SK","Slovakia",2014,0.3
"TR","Turkey",2014,1
"UK","United Kingdom",2014,3.2
"XK","Kosovo (under United Nations Security Council Resolution 1244/99)",2014,-21.8
"AL","Albania",2015,-5.9
"AT","Austria",2015,14.2
"BE","Belgium",2015,6.1
"BG","Bulgaria",2015,-0.6
"CH","Switzerland",2015,8.4
"CY","Cyprus",2015,-2.4
"CZ","Czech Republic",2015,1.5
"DE","Germany (until 1990 former territory of the FRG)",2015,14.1
"DK","Denmark",2015,7.4
"EA18","Euro area (18 countries)",2015,4.3
"EA19","Euro area (19 countries)",2015,4.2
"EE","Estonia",2015,3
"EL","Greece",2015,-3.3
"ES","Spain",2015,-0.2
"EU27","European Union (27 countries)",2015,3.8
"EU28","European Union (28 countries)",2015,3.7
"FI","Finland",2015,2.3
"FR","France",2015,0.7
"HR","Croatia",2015,-4.3
"HU","Hungary",2015,1.5
"IE","Ireland",2015,-1.4
"IS","Iceland",2015,4.5
"IT","Italy",2015,0.5
"LI","Liechtenstein",2015,4.9
"LT","Lithuania",2015,-7.7
"LU","Luxembourg",2015,19.6
"LV","Latvia",2015,-5.4
"ME","Montenegro",2015,-1.5
"MK","Former Yugoslav Republic of Macedonia, the",2015,-0.2
"MT","Malta",2015,9.7
"NL","Netherlands",2015,3.3
"NO","Norway",2015,5.6
"PL","Poland",2015,-0.3
"PT","Portugal",2015,-1
"RO","Romania",2015,-1.8
"RS","Serbia",2015,0
"RU","Russia",2015,1.7
"SE","Sweden",2015,8.1
"SI","Slovenia",2015,0.2
"SK","Slovakia",2015,0.6
"TR","Turkey",2015,1.6
"UK","United Kingdom",2015,6.1
"XK","Kosovo (under United Nations Security Council Resolution 1244/99)",2015,-31.1
