citizen_code,geo_code,citizen,geo,values,TOTAL,NAT,FOR,EFTA_FOR,EU28_FOR
GN,AT,Guinea,Austria,267,8690076,7433203,1249424,9054,615634
GQ,AT,Equatorial Guinea,Austria,9,8690076,7433203,1249424,9054,615634
GT,AT,Guatemala,Austria,172,8690076,7433203,1249424,9054,615634
GW,AT,Guinea-Bissau,Austria,43,8690076,7433203,1249424,9054,615634
GY,AT,Guyana,Austria,1,8690076,7433203,1249424,9054,615634
HN,AT,Honduras,Austria,47,8690076,7433203,1249424,9054,615634
HR,AT,Croatia,Austria,69675,8690076,7433203,1249424,9054,615634
HT,AT,Haiti,Austria,28,8690076,7433203,1249424,9054,615634
HU,AT,Hungary,Austria,63341,8690076,7433203,1249424,9054,615634
ID,AT,Indonesia,Austria,830,8690076,7433203,1249424,9054,615634
IE,AT,Ireland,Austria,1370,8690076,7433203,1249424,9054,615634
IL,AT,Israel,Austria,1572,8690076,7433203,1249424,9054,615634
IM,AT,Isle of Man,Austria,0,8690076,7433203,1249424,9054,615634
IN,AT,India,Austria,8388,8690076,7433203,1249424,9054,615634
IQ,AT,Iraq,Austria,12104,8690076,7433203,1249424,9054,615634
IR,AT,Iran,Austria,11261,8690076,7433203,1249424,9054,615634
IS,AT,Iceland,Austria,230,8690076,7433203,1249424,9054,615634
IT,AT,Italy,Austria,25118,8690076,7433203,1249424,9054,615634
JE,AT,Jersey,Austria,0,8690076,7433203,1249424,9054,615634
JM,AT,Jamaica,Austria,127,8690076,7433203,1249424,9054,615634
JO,AT,Jordan,Austria,437,8690076,7433203,1249424,9054,615634
JP,AT,Japan,Austria,2414,8690076,7433203,1249424,9054,615634
KE,AT,Kenya,Austria,806,8690076,7433203,1249424,9054,615634
KG,AT,Kyrgyzstan,Austria,673,8690076,7433203,1249424,9054,615634
KH,AT,Cambodia,Austria,157,8690076,7433203,1249424,9054,615634
KI,AT,Kiribati,Austria,0,8690076,7433203,1249424,9054,615634
KM,AT,Comoros,Austria,4,8690076,7433203,1249424,9054,615634
KN,AT,Saint Kitts and Nevis,Austria,8,8690076,7433203,1249424,9054,615634
KP,AT,North Korea,Austria,77,8690076,7433203,1249424,9054,615634
KR,AT,South Korea,Austria,2113,8690076,7433203,1249424,9054,615634
KW,AT,Kuwait,Austria,61,8690076,7433203,1249424,9054,615634
KY,AT,Cayman Islands (UK),Austria,0,8690076,7433203,1249424,9054,615634
KZ,AT,Kazakhstan,Austria,1223,8690076,7433203,1249424,9054,615634
LA,AT,Laos,Austria,27,8690076,7433203,1249424,9054,615634
LB,AT,Lebanon,Austria,786,8690076,7433203,1249424,9054,615634
LC,AT,Saint Lucia,Austria,8,8690076,7433203,1249424,9054,615634
LI,AT,Liechtenstein,Austria,409,8690076,7433203,1249424,9054,615634
LK,AT,Sri Lanka,Austria,503,8690076,7433203,1249424,9054,615634
LR,AT,Liberia,Austria,166,8690076,7433203,1249424,9054,615634
LS,AT,Lesotho,Austria,6,8690076,7433203,1249424,9054,615634
LT,AT,Lithuania,Austria,1355,8690076,7433203,1249424,9054,615634
LU,AT,Luxembourg,Austria,843,8690076,7433203,1249424,9054,615634
LV,AT,Latvia,Austria,1415,8690076,7433203,1249424,9054,615634
LY,AT,Libya,Austria,671,8690076,7433203,1249424,9054,615634
MA,AT,Morocco,Austria,1379,8690076,7433203,1249424,9054,615634
MC,AT,Monaco,Austria,0,8690076,7433203,1249424,9054,615634
MD,AT,Moldova,Austria,1286,8690076,7433203,1249424,9054,615634
ME,AT,Montenegro,Austria,1222,8690076,7433203,1249424,9054,615634
MG,AT,Madagascar,Austria,68,8690076,7433203,1249424,9054,615634
MH,AT,Marshall Islands,Austria,0,8690076,7433203,1249424,9054,615634
MK,AT,"Former Yugoslav Republic of Macedonia, the",Austria,21614,8690076,7433203,1249424,9054,615634
ML,AT,Mali,Austria,101,8690076,7433203,1249424,9054,615634
MM,AT,Myanmar/Burma,Austria,76,8690076,7433203,1249424,9054,615634
MN,AT,Mongolia,Austria,2418,8690076,7433203,1249424,9054,615634
MR,AT,Mauritania,Austria,21,8690076,7433203,1249424,9054,615634
MS,AT,Montserrat (UK),Austria,0,8690076,7433203,1249424,9054,615634
MT,AT,Malta,Austria,72,8690076,7433203,1249424,9054,615634
MU,AT,Mauritius,Austria,70,8690076,7433203,1249424,9054,615634
MV,AT,Maldives,Austria,9,8690076,7433203,1249424,9054,615634
MW,AT,Malawi,Austria,26,8690076,7433203,1249424,9054,615634
MX,AT,Mexico,Austria,1126,8690076,7433203,1249424,9054,615634
MY,AT,Malaysia,Austria,323,8690076,7433203,1249424,9054,615634
MZ,AT,Mozambique,Austria,28,8690076,7433203,1249424,9054,615634
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,AT,New Caledonia (FR),Austria,0,8690076,7433203,1249424,9054,615634
NE,AT,Niger,Austria,26,8690076,7433203,1249424,9054,615634
NG,AT,Nigeria,Austria,7352,8690076,7433203,1249424,9054,615634
NI,AT,Nicaragua,Austria,118,8690076,7433203,1249424,9054,615634
NL,AT,Netherlands,Austria,8459,8690076,7433203,1249424,9054,615634
NO,AT,Norway,Austria,684,8690076,7433203,1249424,9054,615634
NP,AT,Nepal,Austria,598,8690076,7433203,1249424,9054,615634
NR,AT,Nauru,Austria,0,8690076,7433203,1249424,9054,615634
NZ,AT,New Zealand,Austria,282,8690076,7433203,1249424,9054,615634
OM,AT,Oman,Austria,135,8690076,7433203,1249424,9054,615634
PA,AT,Panama,Austria,34,8690076,7433203,1249424,9054,615634
PE,AT,Peru,Austria,770,8690076,7433203,1249424,9054,615634
PF,AT,French Polynesia (FR),Austria,0,8690076,7433203,1249424,9054,615634
PG,AT,Papua New Guinea,Austria,8,8690076,7433203,1249424,9054,615634
PH,AT,Philippines,Austria,5472,8690076,7433203,1249424,9054,615634
PK,AT,Pakistan,Austria,4430,8690076,7433203,1249424,9054,615634
PL,AT,Poland,Austria,57618,8690076,7433203,1249424,9054,615634
PM,AT,Saint Pierre and Miquelon (FR),Austria,0,8690076,7433203,1249424,9054,615634
PN,AT,Pitcairn Islands (UK),Austria,0,8690076,7433203,1249424,9054,615634
PS,AT,Palestine,Austria,0,8690076,7433203,1249424,9054,615634
PT,AT,Portugal,Austria,3237,8690076,7433203,1249424,9054,615634
PW,AT,Palau,Austria,0,8690076,7433203,1249424,9054,615634
PY,AT,Paraguay,Austria,82,8690076,7433203,1249424,9054,615634
QA,AT,Qatar,Austria,11,8690076,7433203,1249424,9054,615634
RO,AT,Romania,Austria,82815,8690076,7433203,1249424,9054,615634
RS,AT,Serbia,Austria,116434,8690076,7433203,1249424,9054,615634
RU,AT,Russia,Austria,31327,8690076,7433203,1249424,9054,615634
RW,AT,Rwanda,Austria,102,8690076,7433203,1249424,9054,615634
SA,AT,Saudi Arabia,Austria,357,8690076,7433203,1249424,9054,615634
SB,AT,Solomon Islands,Austria,2,8690076,7433203,1249424,9054,615634
SC,AT,Seychelles,Austria,18,8690076,7433203,1249424,9054,615634
SD,AT,Sudan,Austria,575,8690076,7433203,1249424,9054,615634
SE,AT,Sweden,Austria,2941,8690076,7433203,1249424,9054,615634
SG,AT,Singapore,Austria,177,8690076,7433203,1249424,9054,615634
SH,AT,"Saint Helena, Ascension and Tristan da Cunha (UK)",Austria,0,8690076,7433203,1249424,9054,615634
SI,AT,Slovenia,Austria,15347,8690076,7433203,1249424,9054,615634
SK,AT,Slovakia,Austria,35407,8690076,7433203,1249424,9054,615634
SL,AT,Sierra Leone,Austria,186,8690076,7433203,1249424,9054,615634
SM,AT,San Marino,Austria,1,8690076,7433203,1249424,9054,615634
SN,AT,Senegal,Austria,258,8690076,7433203,1249424,9054,615634
SO,AT,Somalia,Austria,4520,8690076,7433203,1249424,9054,615634
SR,AT,Suriname,Austria,6,8690076,7433203,1249424,9054,615634
SS,AT,South Sudan,Austria,0,8690076,7433203,1249424,9054,615634
ST,AT,São Tomé and Príncipe,Austria,0,8690076,7433203,1249424,9054,615634
SV,AT,El Salvador,Austria,51,8690076,7433203,1249424,9054,615634
SX,AT,Sint Maarten,Austria,0,8690076,7433203,1249424,9054,615634
SY,AT,Syria,Austria,29747,8690076,7433203,1249424,9054,615634
SZ,AT,Swaziland,Austria,6,8690076,7433203,1249424,9054,615634
TC,AT,Turks and Caicos Islands (UK),Austria,0,8690076,7433203,1249424,9054,615634
TD,AT,Chad,Austria,14,8690076,7433203,1249424,9054,615634
TG,AT,Togo,Austria,92,8690076,7433203,1249424,9054,615634
TH,AT,Thailand,Austria,4652,8690076,7433203,1249424,9054,615634
TJ,AT,Tajikistan,Austria,336,8690076,7433203,1249424,9054,615634
TL,AT,Timor-Leste,Austria,0,8690076,7433203,1249424,9054,615634
TM,AT,Turkmenistan,Austria,153,8690076,7433203,1249424,9054,615634
TN,AT,Tunisia,Austria,2171,8690076,7433203,1249424,9054,615634
TO,AT,Tonga,Austria,3,8690076,7433203,1249424,9054,615634
TR,AT,Turkey,Austria,116167,8690076,7433203,1249424,9054,615634
TT,AT,Trinidad and Tobago,Austria,34,8690076,7433203,1249424,9054,615634
TV,AT,Tuvalu,Austria,2,8690076,7433203,1249424,9054,615634
TW,AT,Taiwan,Austria,0,8690076,7433203,1249424,9054,615634
TZ,AT,Tanzania,Austria,114,8690076,7433203,1249424,9054,615634
UA,AT,Ukraine,Austria,9528,8690076,7433203,1249424,9054,615634
UG,AT,Uganda,Austria,215,8690076,7433203,1249424,9054,615634
UK,AT,United Kingdom,Austria,10027,8690076,7433203,1249424,9054,615634
US,AT,United States,Austria,7966,8690076,7433203,1249424,9054,615634
UY,AT,Uruguay,Austria,68,8690076,7433203,1249424,9054,615634
UZ,AT,Uzbekistan,Austria,518,8690076,7433203,1249424,9054,615634
VA,AT,Vatican City State,Austria,0,8690076,7433203,1249424,9054,615634
VC,AT,Saint Vincent and the Grenadines,Austria,7,8690076,7433203,1249424,9054,615634
VE,AT,Venezuela,Austria,423,8690076,7433203,1249424,9054,615634
VG,AT,British Virgin Islands (UK),Austria,0,8690076,7433203,1249424,9054,615634
VN,AT,Vietnam,Austria,988,8690076,7433203,1249424,9054,615634
VU,AT,Vanuatu,Austria,5,8690076,7433203,1249424,9054,615634
WF,AT,Wallis and Futuna (FR),Austria,0,8690076,7433203,1249424,9054,615634
WS,AT,Samoa,Austria,1,8690076,7433203,1249424,9054,615634
XK,AT,Kosovo (under United Nations Security Council Resolution 1244/99),Austria,23324,8690076,7433203,1249424,9054,615634
YE,AT,Yemen,Austria,167,8690076,7433203,1249424,9054,615634
ZA,AT,South Africa,Austria,553,8690076,7433203,1249424,9054,615634
ZM,AT,Zambia,Austria,49,8690076,7433203,1249424,9054,615634
ZW,AT,Zimbabwe,Austria,129,8690076,7433203,1249424,9054,615634
AD,BE,Andorra,Belgium,6,11311117,9977874,1327421,3474,875878
AE,BE,United Arab Emirates,Belgium,10,11311117,9977874,1327421,3474,875878
AF,BE,Afghanistan,Belgium,17529,11311117,9977874,1327421,3474,875878
AG,BE,Antigua and Barbuda,Belgium,0,11311117,9977874,1327421,3474,875878
AI,BE,Anguilla (UK),Belgium,0,11311117,9977874,1327421,3474,875878
AL,BE,Albania,Belgium,6088,11311117,9977874,1327421,3474,875878
AM,BE,Armenia,Belgium,5841,11311117,9977874,1327421,3474,875878
AN,BE,Former Netherlands Antilles,Belgium,0,11311117,9977874,1327421,3474,875878
AO,BE,Angola,Belgium,3104,11311117,9977874,1327421,3474,875878
AR,BE,Argentina,Belgium,521,11311117,9977874,1327421,3474,875878
AT,BE,Austria,Belgium,2796,11311117,9977874,1327421,3474,875878
AU,BE,Australia,Belgium,725,11311117,9977874,1327421,3474,875878
AW,BE,Aruba (NL),Belgium,0,11311117,9977874,1327421,3474,875878
AZ,BE,Azerbaijan,Belgium,675,11311117,9977874,1327421,3474,875878
BA,BE,Bosnia and Herzegovina,Belgium,1947,11311117,9977874,1327421,3474,875878
BB,BE,Barbados,Belgium,3,11311117,9977874,1327421,3474,875878
BD,BE,Bangladesh,Belgium,1431,11311117,9977874,1327421,3474,875878
BF,BE,Burkina Faso,Belgium,831,11311117,9977874,1327421,3474,875878
BG,BE,Bulgaria,Belgium,31251,11311117,9977874,1327421,3474,875878
BH,BE,Bahrain,Belgium,5,11311117,9977874,1327421,3474,875878
BI,BE,Burundi,Belgium,1996,11311117,9977874,1327421,3474,875878
BJ,BE,Benin,Belgium,846,11311117,9977874,1327421,3474,875878
BL,BE,Saint-Barthélemy (FR),Belgium,0,11311117,9977874,1327421,3474,875878
BM,BE,Bermuda (UK),Belgium,0,11311117,9977874,1327421,3474,875878
BN,BE,Brunei Darussalam,Belgium,1,11311117,9977874,1327421,3474,875878
BO,BE,Bolivia,Belgium,408,11311117,9977874,1327421,3474,875878
BQ,BE,"Bonaire, Saint Eustatius and Saba",Belgium,0,11311117,9977874,1327421,3474,875878
BR,BE,Brazil,Belgium,8224,11311117,9977874,1327421,3474,875878
BS,BE,Bahamas,Belgium,4,11311117,9977874,1327421,3474,875878
BT,BE,Bhutan,Belgium,59,11311117,9977874,1327421,3474,875878
BW,BE,Botswana,Belgium,14,11311117,9977874,1327421,3474,875878
BY,BE,Belarus,Belgium,1203,11311117,9977874,1327421,3474,875878
BZ,BE,Belize,Belgium,4,11311117,9977874,1327421,3474,875878
CA,BE,Canada,Belgium,2676,11311117,9977874,1327421,3474,875878
CD,BE,Democratic Republic of the Congo,Belgium,22262,11311117,9977874,1327421,3474,875878
CF,BE,Central African Republic,Belgium,181,11311117,9977874,1327421,3474,875878
CG,BE,Congo,Belgium,588,11311117,9977874,1327421,3474,875878
CH,BE,Switzerland,Belgium,2050,11311117,9977874,1327421,3474,875878
CI,BE,Côte d'Ivoire,Belgium,2472,11311117,9977874,1327421,3474,875878
CL,BE,Chile,Belgium,1052,11311117,9977874,1327421,3474,875878
CM,BE,Cameroon,Belgium,11707,11311117,9977874,1327421,3474,875878
CN,BE,China (including Hong Kong),Belgium,11736,11311117,9977874,1327421,3474,875878
CO,BE,Colombia,Belgium,1815,11311117,9977874,1327421,3474,875878
CR,BE,Costa Rica,Belgium,123,11311117,9977874,1327421,3474,875878
CU,BE,Cuba,Belgium,652,11311117,9977874,1327421,3474,875878
CV,BE,Cape Verde,Belgium,200,11311117,9977874,1327421,3474,875878
CW,BE,Curaçao,Belgium,0,11311117,9977874,1327421,3474,875878
CY,BE,Cyprus,Belgium,469,11311117,9977874,1327421,3474,875878
CZ,BE,Czech Republic,Belgium,3454,11311117,9977874,1327421,3474,875878
DE,BE,Germany (until 1990 former territory of the FRG),Belgium,39279,11311117,9977874,1327421,3474,875878
DJ,BE,Djibouti,Belgium,842,11311117,9977874,1327421,3474,875878
DK,BE,Denmark,Belgium,2729,11311117,9977874,1327421,3474,875878
DM,BE,Dominica,Belgium,36,11311117,9977874,1327421,3474,875878
DO,BE,Dominican Republic,Belgium,895,11311117,9977874,1327421,3474,875878
DZ,BE,Algeria,Belgium,10282,11311117,9977874,1327421,3474,875878
EC,BE,Ecuador,Belgium,3191,11311117,9977874,1327421,3474,875878
EE,BE,Estonia,Belgium,1035,11311117,9977874,1327421,3474,875878
EG,BE,Egypt,Belgium,1827,11311117,9977874,1327421,3474,875878
EH,BE,Western Sahara,Belgium,0,11311117,9977874,1327421,3474,875878
EL,BE,Greece,Belgium,16724,11311117,9977874,1327421,3474,875878
ER,BE,Eritrea,Belgium,1262,11311117,9977874,1327421,3474,875878
ES,BE,Spain,Belgium,61660,11311117,9977874,1327421,3474,875878
ET,BE,Ethiopia,Belgium,1036,11311117,9977874,1327421,3474,875878
FI,BE,Finland,Belgium,2807,11311117,9977874,1327421,3474,875878
FJ,BE,Fiji,Belgium,9,11311117,9977874,1327421,3474,875878
FK,BE,Falkland Islands (UK),Belgium,0,11311117,9977874,1327421,3474,875878
FM,BE,Federated States of Micronesia,Belgium,0,11311117,9977874,1327421,3474,875878
FO,BE,Faroes (DK),Belgium,0,11311117,9977874,1327421,3474,875878
FR,BE,France,Belgium,161807,11311117,9977874,1327421,3474,875878
GA,BE,Gabon,Belgium,287,11311117,9977874,1327421,3474,875878
GD,BE,Grenada,Belgium,0,11311117,9977874,1327421,3474,875878
GE,BE,Georgia,Belgium,2313,11311117,9977874,1327421,3474,875878
GG,BE,Guernsey,Belgium,0,11311117,9977874,1327421,3474,875878
GH,BE,Ghana,Belgium,4658,11311117,9977874,1327421,3474,875878
GI,BE,Gibraltar (UK),Belgium,0,11311117,9977874,1327421,3474,875878
GL,BE,Greenland (DK),Belgium,0,11311117,9977874,1327421,3474,875878
GM,BE,"Gambia, The",Belgium,403,11311117,9977874,1327421,3474,875878
GN,BE,Guinea,Belgium,10424,11311117,9977874,1327421,3474,875878
GQ,BE,Equatorial Guinea,Belgium,33,11311117,9977874,1327421,3474,875878
GT,BE,Guatemala,Belgium,155,11311117,9977874,1327421,3474,875878
GW,BE,Guinea-Bissau,Belgium,74,11311117,9977874,1327421,3474,875878
GY,BE,Guyana,Belgium,23,11311117,9977874,1327421,3474,875878
HN,BE,Honduras,Belgium,119,11311117,9977874,1327421,3474,875878
HR,BE,Croatia,Belgium,1762,11311117,9977874,1327421,3474,875878
HT,BE,Haiti,Belgium,276,11311117,9977874,1327421,3474,875878
HU,BE,Hungary,Belgium,6389,11311117,9977874,1327421,3474,875878
ID,BE,Indonesia,Belgium,1405,11311117,9977874,1327421,3474,875878
IE,BE,Ireland,Belgium,4080,11311117,9977874,1327421,3474,875878
IL,BE,Israel,Belgium,1149,11311117,9977874,1327421,3474,875878
IM,BE,Isle of Man,Belgium,0,11311117,9977874,1327421,3474,875878
IN,BE,India,Belgium,10885,11311117,9977874,1327421,3474,875878
IQ,BE,Iraq,Belgium,16173,11311117,9977874,1327421,3474,875878
IR,BE,Iran,Belgium,4957,11311117,9977874,1327421,3474,875878
IS,BE,Iceland,Belgium,241,11311117,9977874,1327421,3474,875878
IT,BE,Italy,Belgium,156779,11311117,9977874,1327421,3474,875878
JE,BE,Jersey,Belgium,0,11311117,9977874,1327421,3474,875878
JM,BE,Jamaica,Belgium,127,11311117,9977874,1327421,3474,875878
JO,BE,Jordan,Belgium,498,11311117,9977874,1327421,3474,875878
JP,BE,Japan,Belgium,4279,11311117,9977874,1327421,3474,875878
KE,BE,Kenya,Belgium,667,11311117,9977874,1327421,3474,875878
KG,BE,Kyrgyzstan,Belgium,816,11311117,9977874,1327421,3474,875878
KH,BE,Cambodia,Belgium,252,11311117,9977874,1327421,3474,875878
KI,BE,Kiribati,Belgium,0,11311117,9977874,1327421,3474,875878
KM,BE,Comoros,Belgium,21,11311117,9977874,1327421,3474,875878
KN,BE,Saint Kitts and Nevis,Belgium,6,11311117,9977874,1327421,3474,875878
KP,BE,North Korea,Belgium,61,11311117,9977874,1327421,3474,875878
KR,BE,South Korea,Belgium,929,11311117,9977874,1327421,3474,875878
KW,BE,Kuwait,Belgium,31,11311117,9977874,1327421,3474,875878
KY,BE,Cayman Islands (UK),Belgium,0,11311117,9977874,1327421,3474,875878
KZ,BE,Kazakhstan,Belgium,1652,11311117,9977874,1327421,3474,875878
LA,BE,Laos,Belgium,97,11311117,9977874,1327421,3474,875878
LB,BE,Lebanon,Belgium,2186,11311117,9977874,1327421,3474,875878
LC,BE,Saint Lucia,Belgium,7,11311117,9977874,1327421,3474,875878
LI,BE,Liechtenstein,Belgium,4,11311117,9977874,1327421,3474,875878
LK,BE,Sri Lanka,Belgium,1239,11311117,9977874,1327421,3474,875878
LR,BE,Liberia,Belgium,463,11311117,9977874,1327421,3474,875878
LS,BE,Lesotho,Belgium,11,11311117,9977874,1327421,3474,875878
LT,BE,Lithuania,Belgium,2394,11311117,9977874,1327421,3474,875878
LU,BE,Luxembourg,Belgium,4321,11311117,9977874,1327421,3474,875878
LV,BE,Latvia,Belgium,1778,11311117,9977874,1327421,3474,875878
LY,BE,Libya,Belgium,263,11311117,9977874,1327421,3474,875878
MA,BE,Morocco,Belgium,82982,11311117,9977874,1327421,3474,875878
MC,BE,Monaco,Belgium,6,11311117,9977874,1327421,3474,875878
MD,BE,Moldova,Belgium,1535,11311117,9977874,1327421,3474,875878
ME,BE,Montenegro,Belgium,354,11311117,9977874,1327421,3474,875878
MG,BE,Madagascar,Belgium,537,11311117,9977874,1327421,3474,875878
MH,BE,Marshall Islands,Belgium,0,11311117,9977874,1327421,3474,875878
MK,BE,"Former Yugoslav Republic of Macedonia, the",Belgium,4977,11311117,9977874,1327421,3474,875878
ML,BE,Mali,Belgium,515,11311117,9977874,1327421,3474,875878
MM,BE,Myanmar/Burma,Belgium,124,11311117,9977874,1327421,3474,875878
MN,BE,Mongolia,Belgium,665,11311117,9977874,1327421,3474,875878
MR,BE,Mauritania,Belgium,1152,11311117,9977874,1327421,3474,875878
MS,BE,Montserrat (UK),Belgium,0,11311117,9977874,1327421,3474,875878
MT,BE,Malta,Belgium,459,11311117,9977874,1327421,3474,875878
MU,BE,Mauritius,Belgium,835,11311117,9977874,1327421,3474,875878
MV,BE,Maldives,Belgium,0,11311117,9977874,1327421,3474,875878
MW,BE,Malawi,Belgium,33,11311117,9977874,1327421,3474,875878
MX,BE,Mexico,Belgium,1168,11311117,9977874,1327421,3474,875878
MY,BE,Malaysia,Belgium,413,11311117,9977874,1327421,3474,875878
MZ,BE,Mozambique,Belgium,47,11311117,9977874,1327421,3474,875878
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,BE,New Caledonia (FR),Belgium,0,11311117,9977874,1327421,3474,875878
NE,BE,Niger,Belgium,1261,11311117,9977874,1327421,3474,875878
NG,BE,Nigeria,Belgium,3938,11311117,9977874,1327421,3474,875878
NI,BE,Nicaragua,Belgium,103,11311117,9977874,1327421,3474,875878
NL,BE,Netherlands,Belgium,151651,11311117,9977874,1327421,3474,875878
NO,BE,Norway,Belgium,1179,11311117,9977874,1327421,3474,875878
NP,BE,Nepal,Belgium,2386,11311117,9977874,1327421,3474,875878
