citizen_code,geo_code,citizen,geo,values,TOTAL,NAT,FOR,EFTA_FOR,EU28_FOR
AD,AT,Andorra,Austria,4,8690076,7433203,1249424,9054,615634
AE,AT,United Arab Emirates,Austria,34,8690076,7433203,1249424,9054,615634
AF,AT,Afghanistan,Austria,32688,8690076,7433203,1249424,9054,615634
AG,AT,Antigua and Barbuda,Austria,5,8690076,7433203,1249424,9054,615634
AI,AT,Anguilla (UK),Austria,0,8690076,7433203,1249424,9054,615634
AL,AT,Albania,Austria,2227,8690076,7433203,1249424,9054,615634
AM,AT,Armenia,Austria,3558,8690076,7433203,1249424,9054,615634
AN,AT,Former Netherlands Antilles,Austria,0,8690076,7433203,1249424,9054,615634
AO,AT,Angola,Austria,205,8690076,7433203,1249424,9054,615634
AR,AT,Argentina,Austria,432,8690076,7433203,1249424,9054,615634
AU,AT,Australia,Austria,1134,8690076,7433203,1249424,9054,615634
AW,AT,Aruba (NL),Austria,0,8690076,7433203,1249424,9054,615634
AZ,AT,Azerbaijan,Austria,1133,8690076,7433203,1249424,9054,615634
BA,AT,Bosnia and Herzegovina,Austria,93570,8690076,7433203,1249424,9054,615634
BB,AT,Barbados,Austria,9,8690076,7433203,1249424,9054,615634
BD,AT,Bangladesh,Austria,2263,8690076,7433203,1249424,9054,615634
BE,AT,Belgium,Austria,2192,8690076,7433203,1249424,9054,615634
BF,AT,Burkina Faso,Austria,101,8690076,7433203,1249424,9054,615634
BG,AT,Bulgaria,Austria,22357,8690076,7433203,1249424,9054,615634
BH,AT,Bahrain,Austria,12,8690076,7433203,1249424,9054,615634
BI,AT,Burundi,Austria,31,8690076,7433203,1249424,9054,615634
BJ,AT,Benin,Austria,74,8690076,7433203,1249424,9054,615634
BL,AT,Saint-Barthélemy (FR),Austria,0,8690076,7433203,1249424,9054,615634
BM,AT,Bermuda (UK),Austria,0,8690076,7433203,1249424,9054,615634
BN,AT,Brunei Darussalam,Austria,0,8690076,7433203,1249424,9054,615634
BO,AT,Bolivia,Austria,205,8690076,7433203,1249424,9054,615634
BQ,AT,"Bonaire, Saint Eustatius and Saba",Austria,0,8690076,7433203,1249424,9054,615634
BR,AT,Brazil,Austria,2908,8690076,7433203,1249424,9054,615634
BS,AT,Bahamas,Austria,8,8690076,7433203,1249424,9054,615634
BT,AT,Bhutan,Austria,24,8690076,7433203,1249424,9054,615634
BW,AT,Botswana,Austria,6,8690076,7433203,1249424,9054,615634
BY,AT,Belarus,Austria,1714,8690076,7433203,1249424,9054,615634
BZ,AT,Belize,Austria,11,8690076,7433203,1249424,9054,615634
CA,AT,Canada,Austria,1713,8690076,7433203,1249424,9054,615634
CD,AT,Democratic Republic of the Congo,Austria,587,8690076,7433203,1249424,9054,615634
CF,AT,Central African Republic,Austria,4,8690076,7433203,1249424,9054,615634
CG,AT,Congo,Austria,359,8690076,7433203,1249424,9054,615634
CH,AT,Switzerland,Austria,7731,8690076,7433203,1249424,9054,615634
CI,AT,Côte d'Ivoire,Austria,217,8690076,7433203,1249424,9054,615634
CL,AT,Chile,Austria,495,8690076,7433203,1249424,9054,615634
CM,AT,Cameroon,Austria,593,8690076,7433203,1249424,9054,615634
CN,AT,China (including Hong Kong),Austria,12228,8690076,7433203,1249424,9054,615634
CO,AT,Colombia,Austria,885,8690076,7433203,1249424,9054,615634
CR,AT,Costa Rica,Austria,98,8690076,7433203,1249424,9054,615634
CU,AT,Cuba,Austria,557,8690076,7433203,1249424,9054,615634
CV,AT,Cape Verde,Austria,21,8690076,7433203,1249424,9054,615634
CW,AT,Curaçao,Austria,0,8690076,7433203,1249424,9054,615634
CY,AT,Cyprus,Austria,174,8690076,7433203,1249424,9054,615634
CZ,AT,Czech Republic,Austria,12382,8690076,7433203,1249424,9054,615634
DE,AT,Germany (until 1990 former territory of the FRG),Austria,176408,8690076,7433203,1249424,9054,615634
DJ,AT,Djibouti,Austria,2,8690076,7433203,1249424,9054,615634
DK,AT,Denmark,Austria,1139,8690076,7433203,1249424,9054,615634
DM,AT,Dominica,Austria,9,8690076,7433203,1249424,9054,615634
DO,AT,Dominican Republic,Austria,1741,8690076,7433203,1249424,9054,615634
DZ,AT,Algeria,Austria,1273,8690076,7433203,1249424,9054,615634
EC,AT,Ecuador,Austria,336,8690076,7433203,1249424,9054,615634
EE,AT,Estonia,Austria,534,8690076,7433203,1249424,9054,615634
EG,AT,Egypt,Austria,5740,8690076,7433203,1249424,9054,615634
EH,AT,Western Sahara,Austria,0,8690076,7433203,1249424,9054,615634
EL,AT,Greece,Austria,5483,8690076,7433203,1249424,9054,615634
ER,AT,Eritrea,Austria,242,8690076,7433203,1249424,9054,615634
ES,AT,Spain,Austria,6573,8690076,7433203,1249424,9054,615634
ET,AT,Ethiopia,Austria,432,8690076,7433203,1249424,9054,615634
FI,AT,Finland,Austria,1546,8690076,7433203,1249424,9054,615634
FJ,AT,Fiji,Austria,17,8690076,7433203,1249424,9054,615634
FK,AT,Falkland Islands (UK),Austria,0,8690076,7433203,1249424,9054,615634
FM,AT,Federated States of Micronesia,Austria,0,8690076,7433203,1249424,9054,615634
FO,AT,Faroes (DK),Austria,0,8690076,7433203,1249424,9054,615634
FR,AT,France,Austria,7806,8690076,7433203,1249424,9054,615634
GA,AT,Gabon,Austria,31,8690076,7433203,1249424,9054,615634
GD,AT,Grenada,Austria,7,8690076,7433203,1249424,9054,615634
GE,AT,Georgia,Austria,3251,8690076,7433203,1249424,9054,615634
GG,AT,Guernsey,Austria,0,8690076,7433203,1249424,9054,615634
GH,AT,Ghana,Austria,1337,8690076,7433203,1249424,9054,615634
GI,AT,Gibraltar (UK),Austria,0,8690076,7433203,1249424,9054,615634
GL,AT,Greenland (DK),Austria,0,8690076,7433203,1249424,9054,615634
GM,AT,"Gambia, The",Austria,684,8690076,7433203,1249424,9054,615634
